@id;@type;http://erlangen-crm.org/current/P3_has_note;http://erlangen-crm.org/efrbroo/R10_has_member;http://erlangen-crm.org/efrbroo/R40_has_representative_expression;http://erlangen-crm.org/efrbroo/R44_carried_out_by;http://erlangen-crm.org/efrbroo/R50_assigned_to;http://erlangen-crm.org/efrbroo/R51_assigned;http://data.doremus.org/ontology#U5_had_premiere;http://erlangen-crm.org/efrbroo/R9_is_realised_in;http://data.doremus.org/ontology#U11_has_key;http://data.doremus.org/ontology#U13_has_casting;http://data.doremus.org/ontology#U16_has_catalogue_statement;http://data.doremus.org/ontology#U17_has_opus_statement;http://erlangen-crm.org/current/P102_has_title;http://data.doremus.org/ontology#U40_has_catalogue_name;http://data.doremus.org/ontology#U41_has_catalogue_number;http://data.doremus.org/ontology#U42_has_opus_number;http://erlangen-crm.org/current/P165_incorporates;http://data.doremus.org/ontology#U4_had_princeps_publication;http://erlangen-crm.org/current/P10_falls_within;http://erlangen-crm.org/current/P4_has_time-span;http://erlangen-crm.org/current/P9_consists_of;http://erlangen-crm.org/efrbroo/R17_created;http://erlangen-crm.org/efrbroo/R19_created_a_realisation_of;http://erlangen-crm.org/current/P1_is_identified_by;http://erlangen-crm.org/current/P82_at_some_time_within;http://data.doremus.org/ontology#U31_had_function_of_type;http://erlangen-crm.org/current/P14_carried_out_by;http://erlangen-crm.org/efrbroo/R25_performed;http://data.doremus.org/ontology#U12_has_genre;http://data.doremus.org/ontology#U10_has_order_number;http://erlangen-crm.org/efrbroo/R24_created;http://erlangen-crm.org/efrbroo/R3_is_realised_in;http://data.doremus.org/ontology#U43_has_opus_subnumber
http://data.doremus.org/expression/a1ec0b9a-3af1-3b69-9026-b0be64565643/casting/1;['http://data.doremus.org/ontology#M6_Casting'];[{'@value': 'Une voix soliste (dessus) , deux violons , basse continue.'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/5b1118ba-5b8a-388a-ad2c-d5cd5d9bb112;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/daa4624c-affa-374d-be27-7a219e8eaf55/casting/1;['http://data.doremus.org/ontology#M6_Casting'];"[{'@value': 'Rôles : Colette (soprano) ; Colin (ténor) ; le Devin (baryton) ; orchestre'}]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/e8e1ac8a-529f-33af-acd4-4fbda0d7e7f3;['http://erlangen-crm.org/efrbroo/F15_Complex_Work'];;[{'@id': 'http://data.doremus.org/work/a6afad26-baad-30da-b211-0f12ae026828'}];[{'@id': 'http://data.doremus.org/expression/21ba1043-62a7-3635-915e-0eca3597632f'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/event/168ca1c2-ce9a-3afe-bbb3-246d97b10a56;['http://erlangen-crm.org/efrbroo/F42_Representative_Expression_Assignment'];;;;[{'@id': 'http://data.doremus.org/Philharmonie_de_Paris'}];[{'@id': 'http://data.doremus.org/work/a105ed63-b754-3b78-a345-9bf47fbb7d69'}];[{'@id': 'http://data.doremus.org/expression/f5758725-4d79-3de4-93aa-717bb87deae4'}];;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/45c9d939-5d50-3513-8bcc-c5f45e9b56d0;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/performance/9ac6be02-3f92-3dba-9a5b-e6fa8b1ff410'}];[{'@id': 'http://data.doremus.org/expression/fbf25147-54a3-39ba-a1ca-baf9c9ded9c0'}];;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/1e7a40a1-d3bf-3605-b92c-96d233b73055;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/2c622e00-5ad4-3698-a642-a2f2db06e19a/casting/1;['http://data.doremus.org/ontology#M6_Casting'];[{'@value': 'quatuor vocal (SATB), choeur et orchestre : 2 clarinettes, 2 trompettes, timbales, cordes et orgue'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/2d6f5e2b-34cd-3569-8274-899b9ba05583;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/7b8ce0d2-eb66-3694-9ddf-eccaf3b59d36/casting/1;['http://data.doremus.org/ontology#M6_Casting'];[{'@value': '2 violons, alto, violoncelle'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/7b74b3a2-d31d-387e-a0dc-ef98991c16d9;['http://erlangen-crm.org/efrbroo/F15_Complex_Work'];;[{'@id': 'http://data.doremus.org/work/d00d314a-81bc-3fb8-8526-7723f0867366'}];[{'@id': 'http://data.doremus.org/expression/21727ec1-08af-3adf-9a3f-bcb4444579a6'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/event/0570a7e8-a523-3579-af43-0b20c423bd3d;['http://erlangen-crm.org/efrbroo/F42_Representative_Expression_Assignment'];;;;[{'@id': 'http://data.doremus.org/Philharmonie_de_Paris'}];[{'@id': 'http://data.doremus.org/work/9cafe99a-0768-3c38-8880-43c15fac9221'}];[{'@id': 'http://data.doremus.org/expression/ca2b5d09-5665-33f4-acef-0a423a6a400a'}];;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/78a9dd20-2f59-32b3-bf72-6f9e82394a8c;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];"[{'@value': ""Cette pièce célèbre reflète la virtuosité pianistique de l'auteur""}]";;;;;;;;[{'@id': 'http://data.doremus.org/vocabulary/key/e'}];[{'@id': 'http://data.doremus.org/expression/78a9dd20-2f59-32b3-bf72-6f9e82394a8c/casting/1'}];[{'@id': '_:n4d6210b886b34016a608c6f92d74c605b316'}];[{'@id': '_:n4d6210b886b34016a608c6f92d74c605b317'}];[{'@value': 'Rondo capriccioso'}];;;;;;;;;;;;;;;;;;;;
_:n4d6210b886b34016a608c6f92d74c605b316;['http://data.doremus.org/ontology#M1_Catalogue_Statement'];[{'@value': 'MWV U 67'}];;;;;;;;;;;;;[{'@value': 'MWV'}];[{'@value': 'U'}];;;;;;;;;;;;;;;;;;
_:n4d6210b886b34016a608c6f92d74c605b317;['http://data.doremus.org/ontology#M2_Opus_Statement'];[{'@value': 'Op.14'}];;;;;;;;;;;;;;;[{'@value': '14'}];;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/e0821343-fb7b-34f6-97b3-768a806c9dfb/casting/1;['http://data.doremus.org/ontology#M6_Casting'];[{'@value': 'Piano et clarinette ou violon ou violoncelle'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/a786158a-8475-3bd6-b921-1fcb09a4fc13;['http://erlangen-crm.org/efrbroo/F25_Performance_Plan'];;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/3be0f3fd-2239-3f38-ac0c-7efd0328abc8'}];;;;;;;;;;;;;;;;
http://data.doremus.org/expression/e93ad736-8425-3913-a699-f96372f98cfa/casting/1;['http://data.doremus.org/ontology#M6_Casting'];[{'@value': 'Les bois par 2, 4 cors, 2 trompettes, timbales, le quintette à cordes'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/b97a061f-b585-3f7c-a58f-76b5dd5bae1a;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/performance/8008e297-77d3-3c68-b434-35c696f4c31b'}];[{'@id': 'http://data.doremus.org/expression/66286b33-d86d-3a98-9198-9271d600547d'}];;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/190c3b59-003d-3728-9537-3845912f2dab;['http://erlangen-crm.org/efrbroo/F25_Performance_Plan'];;;;;;;;;;;;;;;;;[{'@id': 'http://data.doremus.org/expression/a77e2030-f62a-329a-b1db-c7b7ff763aff'}];;;;;;;;;;;;;;;;
http://data.doremus.org/work/f0972236-ec0b-39f0-9ea8-f27b3cd66d56;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/performance/9cf62be5-73b1-3983-8247-fd8e62546a18'}];[{'@id': 'http://data.doremus.org/expression/61ee2f32-6015-37db-95d2-1b9f23fe5355'}];;;;;;;;;;[{'@id': 'http://data.doremus.org/event/5c5ff380-c40e-3ff7-bc38-ba1019a44241'}];;;;;;;;;;;;;;;
