@id;@type;http://data.doremus.org/ontology#U12_has_genre;http://data.doremus.org/ontology#U16_has_catalogue_statement;http://erlangen-crm.org/current/P102_has_title;http://erlangen-crm.org/current/P3_has_note;http://data.doremus.org/ontology#U40_has_catalogue_name;http://data.doremus.org/ontology#U41_has_catalogue_number;http://erlangen-crm.org/efrbroo/R9_is_realised_in;http://data.doremus.org/ontology#U4_had_princeps_publication;http://erlangen-crm.org/efrbroo/R10_has_member;http://erlangen-crm.org/efrbroo/R40_has_representative_expression;http://data.doremus.org/ontology#U17_has_opus_statement;http://data.doremus.org/ontology#U42_has_opus_number;http://data.doremus.org/ontology#U23_has_casting_detail;http://data.doremus.org/ontology#U2_foresees_use_of_medium_of_performance_of_type;http://erlangen-crm.org/current/P1_is_identified_by;http://erlangen-crm.org/current/P67_refers_to;http://erlangen-crm.org/efrbroo/R19_created_a_realisation_of;http://erlangen-crm.org/efrbroo/R24_created;http://data.doremus.org/ontology#U13_has_casting;http://erlangen-crm.org/efrbroo/R44_carried_out_by;http://erlangen-crm.org/efrbroo/R50_assigned_to;http://erlangen-crm.org/efrbroo/R51_assigned;http://erlangen-crm.org/current/P4_has_time-span;http://erlangen-crm.org/current/P9_consists_of;http://erlangen-crm.org/efrbroo/R17_created;http://erlangen-crm.org/current/P82_at_some_time_within;http://data.doremus.org/ontology#U31_had_function_of_type;http://erlangen-crm.org/current/P14_carried_out_by;http://erlangen-crm.org/current/P165_incorporates;http://erlangen-crm.org/efrbroo/R25_performed;http://data.doremus.org/ontology#U44_has_dedication_statement;http://data.doremus.org/ontology#U10_has_order_number;http://data.doremus.org/ontology#U11_has_key;http://erlangen-crm.org/current/P81_ongoing_throughout;http://data.doremus.org/ontology#U5_had_premiere;http://erlangen-crm.org/efrbroo/R3_is_realised_in;http://data.doremus.org/ontology#U43_has_opus_subnumber
http://data.doremus.org/expression/1660b8a7-d6f4-354e-8551-472fc7f22a92;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/zz'}];[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb389'}];[{'@value': '3 pièces'}, {'@value': '3 Klavierstücke'}, {'@value': 'Drei Klavierstücke'}];[{'@value': 'Tonalités : mi bémol mineur, mi bémol majeur, do majeur'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb389;['http://data.doremus.org/ontology#M1_Catalogue_Statement'];;;;[{'@value': 'D 946'}];[{'@value': 'D'}];[{'@value': '946'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/7e29857f-ab2a-3d9a-9144-31100473b89b;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/vr'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/1e7a40a1-d3bf-3605-b92c-96d233b73055;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/dea12c99-172c-398a-ad8f-0498bfa65510;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/96ba15fb-8696-3978-bd9c-318faddfb43d'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/be67e59c-cb99-3065-ac68-3fda56955c6b;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/0214a217-0f89-3bb0-a629-9247085d32a4'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/13db7cc6-cac3-3582-88a9-6b7a343f69e0;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/0e24302a-3b2b-312b-83e7-afda5fbcd920'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/0215fcb7-c83f-3a23-bbea-d37589b33c6f;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/op'}];;[{'@value': 'Khovantchina'}, {'@value': 'Khovanchtchina'}, {'@value': 'Hovanscina'}];[{'@value': 'Drame musical populaire en 4 actes et 5 tableaux'}, {'@value': 'Livret de Stassof'}, {'@value': 'Terminé et orchestré par Rimsky-Korsakov'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/artist/2d6f5e2b-34cd-3569-8274-899b9ba05583;['http://erlangen-crm.org/current/E21_Person'];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/f5c2d0f5-4f72-37ed-90de-c06b75177b66;['http://erlangen-crm.org/efrbroo/F14_Individual_Work'];;;;;;;[{'@id': 'http://data.doremus.org/expression/10c7e990-1e08-3e8a-ab17-38ef16186681'}];[{'@id': 'http://data.doremus.org/event/11372a42-c62e-3a35-a3df-32312aeff9b9'}];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/work/128f7f23-0ada-316d-99fb-81119e71b549;['http://erlangen-crm.org/efrbroo/F15_Complex_Work'];;;;;;;;;[{'@id': 'http://data.doremus.org/work/e762f261-d9de-3cc5-bd88-d056c43b138e'}];[{'@id': 'http://data.doremus.org/expression/de15f478-333e-30e1-be14-110604795526'}];;;;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/809fc85f-e58e-364b-80c1-18f0975f2907;['http://erlangen-crm.org/efrbroo/F22_Self-Contained_Expression'];[{'@id': 'http://data.doremus.org/vocabulary/iaml/genre/inm'}];;"[{'@value': ""A midsummer night's dream""}, {'@value': ""A midsummer night's dream by Shakespeare""}, {'@value': 'Ein Sommernachtstraum'}, {'@value': ""Le songe d'une nuit d'été""}]";"[{'@value': 'Musique de scène pour la pièce de Shakespeare'}, {'@value': ""Comprend aussi l'ouverture, écrite séparément (op. 21)""}]";;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb488'}];;;;;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb488;['http://data.doremus.org/ontology#M2_Opus_Statement'];;;;[{'@value': 'Op. 61'}];;;;;;;;[{'@value': '61'}];;;;;;;;;;;;;;;;;;;;;;;;;
http://data.doremus.org/expression/af6a1a04-9195-3b82-84bb-e1dd3448e9bd/casting/1;['http://data.doremus.org/ontology#M6_Casting'];;;;[{'@value': 'Cordes'}];;;;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb263'}];;;;;;;;;;;;;;;;;;;;;;;;
_:n4c91e587c8804ce4a24a1896dadc47ffb263;['http://data.doremus.org/ontology#M23_Casting_Detail'];;;;;;;;;;;;;;[{'@id': '_:n4c91e587c8804ce4a24a1896dadc47ffb264'}];;;;;;;;;;;;;;;;;;;;;;;
